Country,Magnitude
Afghanistan,160
Albania,6
Algeria,18
Antigua and Barbuda,7
Argentina,233
Armenia,2
Australia,26
Azerbaijan,5
Bangladesh,5
Belgium,1
Bhutan,6
Bolivia,65
Bosnia and Herzegovina,7
Brazil,27
British Indian Ocean Territory,5
Bulgaria,2
Canada,25
Chile,590
China,353
Colombia,78
Costa Rica,63
Croatia,3
Cuba,2
Cyprus,2
Democratic Republic of the Congo,18
Djibouti,7
Dominica,2
Dominican Republic,16
East Timor,7
Ecuador,92
Egypt,8
El Salvador,22
Eritrea,4
Ethiopia,18
Fiji,306
France,27
Gabon,1
Georgia,9
Greece,107
Greenland,2
Guatemala,71
Guinea,1
Haiti,7
Honduras,5
Iceland,18
India,86
Indonesia,2488
Iran,169
Iraq,3
Italy,41
Jamaica,2
Japan,432
Kazakhstan,9
Kenya,1
Kosovo,1
Kyrgyzstan,22
Laos,3
Madagascar,3
Malawi,6
Malaysia,4
Mexico,245
Micronesia,3
Mongolia,13
Montenegro,3
Morocco,4
Mozambique,4
Myanmar,83
Nepal,23
New Zealand,128
Nicaragua,51
North Macedonia,1
Norway,9
Pakistan,85
Palau,2
Panama,50
Papua New Guinea,1190
Paraguay,1
Peru,382
Philippines,530
Poland,1
Portugal,4
Romania,13
Russia,287
Saint Kitts and Nevis,1
Saudi Arabia,2
Serbia,4
Slovenia,1
Solomon Islands,433
Somalia,1
South Africa,9
South Georgia and the South Sandwich Islands,39
South Sudan,6
Spain,3
Sudan,1
Syria,1
Taiwan,138
Tajikistan,34
Tanzania,17
Thailand,3
Tonga,53
Trinidad and Tobago,8
Turkey,104
Turkmenistan,5
Uganda,3
United States,520
Uzbekistan,11
Vanuatu,568
Venezuela,31
Vietnam,1
Yemen,1
Zambia,4
