,0
0,-1
1,407
2,-1
3,-1
4,284
5,613
6,-1
7,349
8,528
9,158
10,151
11,148
12,-1
13,-1
14,-1
15,149
16,148
17,-1
18,-1
19,148
20,-1
21,147
22,147
23,151
24,665
25,-1
26,-1
27,150
28,-1
29,-1
30,154
31,182
32,-1
33,149
34,151
35,-1
36,182
37,154
38,-1
39,-1
40,148
41,149
42,-1
43,153
44,8
45,-1
46,149
47,-1
48,232
49,232
50,425
51,147
52,159
53,155
54,150
55,847
56,439
57,182
58,67
59,148
60,356
61,616
62,372
63,-1
64,-1
65,-1
66,-1
67,-1
68,721
69,151
70,-1
71,-1
72,149
73,452
74,-1
75,-1
76,-1
77,-1
78,333
79,140
80,-1
81,-1
82,597
83,-1
84,-1
85,9
86,232
87,726
88,218
89,344
90,155
91,158
92,-1
93,-1
94,666
95,-1
96,-1
97,-1
98,90
99,-1
100,90
101,-1
102,-1
103,-1
104,-1
105,71
106,574
107,321
108,-1
109,-1
110,497
111,-1
112,585
113,153
114,532
115,-1
116,319
117,102
118,146
119,-1
120,152
121,-1
122,-1
123,-1
124,-1
125,-1
126,649
127,399
128,826
129,-1
130,-1
131,151
132,103
133,-1
134,251
135,-1
136,696
137,777
138,-1
139,-1
140,39
141,40
142,-1
143,218
144,-1
145,12
146,58
147,-1
148,151
149,459
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,195
159,-1
160,150
161,112
162,758
163,758
164,44
165,-1
166,480
167,671
168,222
169,349
170,128
171,-1
172,-1
173,-1
174,834
175,-1
176,-1
177,735
178,471
179,-1
180,93
181,-1
182,-1
183,817
184,-1
185,148
186,148
187,195
188,-1
189,-1
190,-1
191,-1
192,30
193,6
194,-1
195,-1
196,496
197,-1
198,221
199,-1
200,197
201,216
202,107
203,227
204,343
205,582
206,404
207,-1
208,9
209,-1
210,559
211,3
212,36
213,36
214,-1
215,851
216,114
217,114
218,114
219,786
220,739
221,180
222,-1
223,134
224,10
225,301
226,507
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,-1
234,-1
235,321
236,-1
237,271
238,-1
239,197
240,223
241,153
242,-1
243,230
244,412
245,133
246,-1
247,-1
248,-1
249,-1
250,262
251,736
252,-1
253,393
254,182
255,697
256,-1
257,155
258,-1
259,-1
260,307
261,-1
262,-1
263,302
264,-1
265,95
266,-1
267,595
268,595
269,-1
270,420
271,-1
272,-1
273,446
274,-1
275,645
276,-1
277,-1
278,706
279,378
280,-1
281,72
282,188
283,601
284,722
285,491
286,-1
287,258
288,766
289,278
290,-1
291,375
292,-1
293,-1
294,-1
295,274
296,279
297,233
298,555
299,-1
300,-1
301,-1
302,-1
303,276
304,551
305,737
306,76
307,650
308,-1
309,-1
310,173
311,-1
312,601
313,676
314,-1
315,326
316,-1
317,-1
318,835
319,231
320,31
321,-1
322,359
323,-1
324,787
325,-1
326,98
327,-1
328,99
329,-1
330,-1
331,-1
332,-1
333,-1
334,256
335,4
336,4
337,4
338,531
339,10
340,617
341,488
342,638
343,153
344,14
345,179
346,247
347,578
348,106
349,-1
350,106
351,-1
352,178
353,178
354,-1
355,-1
356,-1
357,-1
358,503
359,194
360,810
361,177
362,724
363,-1
364,95
365,415
366,219
367,476
368,-1
369,593
370,593
371,-1
372,20
373,20
374,99
375,-1
376,-1
377,20
378,540
379,-1
380,-1
381,-1
382,312
383,-1
384,255
385,-1
386,-1
387,238
388,111
389,238
390,-1
391,-1
392,343
393,191
394,683
395,-1
396,225
397,225
398,-1
399,-1
400,710
401,-1
402,387
403,670
404,44
405,308
406,682
407,308
408,-1
409,683
410,-1
411,267
412,292
413,14
414,703
415,703
416,-1
417,249
418,-1
419,170
420,-1
421,-1
422,-1
423,325
424,-1
425,-1
426,-1
427,85
428,-1
429,102
430,-1
431,-1
432,237
433,-1
434,-1
435,-1
436,-1
437,20
438,20
439,143
440,500
441,-1
442,238
443,-1
444,364
445,491
446,11
447,-1
448,213
449,154
450,-1
451,626
452,-1
453,-1
454,-1
455,-1
456,-1
457,-1
458,509
459,-1
460,-1
461,67
462,-1
463,67
464,74
465,74
466,62
467,76
468,74
469,-1
470,74
471,-1
472,62
473,-1
474,58
475,618
476,36
477,67
478,-1
479,441
480,109
481,441
482,-1
483,93
484,-1
485,-1
486,93
487,-1
488,-1
489,67
490,64
491,-1
492,-1
493,-1
494,-1
495,68
496,79
497,-1
498,-1
499,59
500,-1
501,57
502,-1
503,-1
504,-1
505,220
506,724
507,123
508,584
509,67
510,-1
511,-1
512,786
513,66
514,61
515,436
516,55
517,566
518,65
519,-1
520,58
521,586
522,294
523,66
524,441
525,-1
526,-1
527,390
528,425
529,231
530,480
531,41
532,-1
533,-1
534,261
535,235
536,458
537,147
538,65
539,-1
540,-1
541,-1
542,705
543,-1
544,-1
545,-1
546,342
547,67
548,380
549,-1
550,-1
551,-1
552,442
553,613
554,-1
555,137
556,-1
557,-1
558,-1
559,-1
560,-1
561,-1
562,32
563,-1
564,30
565,326
566,65
567,-1
568,324
569,643
570,68
571,588
572,-1
573,152
574,784
575,298
576,-1
577,152
578,152
579,-1
580,347
581,-1
582,-1
583,-1
584,-1
585,15
586,-1
587,193
588,-1
589,341
590,131
591,186
592,-1
593,-1
594,-1
595,378
596,-1
597,489
598,489
599,-1
600,488
601,329
602,329
603,490
604,-1
605,491
606,490
607,686
608,686
609,123
610,-1
611,54
612,-1
613,218
614,-1
615,-1
616,66
617,385
618,489
619,-1
620,699
621,207
622,-1
623,145
624,726
625,685
626,-1
627,202
628,62
629,61
630,213
631,763
632,-1
633,-1
634,-1
635,-1
636,-1
637,160
638,702
639,-1
640,-1
641,602
642,-1
643,-1
644,-1
645,66
646,850
647,110
648,-1
649,-1
650,177
651,182
652,-1
653,-1
654,-1
655,-1
656,-1
657,-1
658,5
659,103
660,62
661,-1
662,-1
663,276
664,47
665,578
666,-1
667,-1
668,-1
669,97
670,97
671,-1
672,100
673,-1
674,625
675,83
676,-1
677,-1
678,89
679,85
680,82
681,85
682,85
683,88
684,89
685,88
686,85
687,83
688,-1
689,-1
690,-1
691,84
692,-1
693,86
694,-1
695,85
696,85
697,8
698,-1
699,-1
700,-1
701,740
702,740
703,548
704,739
705,-1
706,89
707,88
708,-1
709,-1
710,88
711,-1
712,-1
713,85
714,26
715,-1
716,85
717,83
718,-1
719,83
720,-1
721,-1
722,80
723,80
724,686
725,231
726,-1
727,151
728,-1
729,-1
730,214
731,214
732,678
733,746
734,658
735,735
736,666
737,-1
738,631
739,85
740,448
741,-1
742,592
743,-1
744,-1
745,175
746,86
747,581
748,98
749,-1
750,-1
751,-1
