,Date,Time,Latitude,Longitude,Depth,Magnitude,Year,Month,Country,Continent,MagGroup,DepthGroup,Tecto-setting,region
0,1965-01-02,0 days 13:44:18,19.246,145.616,131.6,6.0,1965,1,Undefined,Undefined,0.0,Intermediate,Convergent,Philippine-Pacific
2,1965-01-05,0 days 18:05:58,-20.579,-173.972,20.0,6.2,1965,1,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
3,1965-01-08,0 days 18:49:43,-59.076,-23.557,15.0,5.8,1965,1,Undefined,Undefined,0.0,Shallow,Divergent,SouthAmerican-African
4,1965-01-09,0 days 13:32:50,11.938,126.427,15.0,5.8,1965,1,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
7,1965-01-15,0 days 23:17:42,-13.309,166.212,35.0,6.0,1965,1,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
8,1965-01-16,0 days 11:32:37,-56.452,-27.043,95.0,6.0,1965,1,Undefined,Undefined,0.0,Intermediate,Divergent,SouthAmerican-African
9,1965-01-17,0 days 10:43:17,-24.563,178.487,565.0,5.8,1965,1,Undefined,Undefined,0.0,Deep,Convergent,Australian-Pacific
13,1965-02-01,0 days 05:27:06,-18.697,-177.864,482.9,5.6,1965,2,Undefined,Undefined,0.0,Deep,Convergent,Australian-Pacific
15,1965-02-04,0 days 03:25:00,-51.84,139.741,10.0,6.1,1965,2,Undefined,Undefined,1.0,Shallow,Divergent,Australian-Antarctic
16,1965-02-04,0 days 05:01:22,51.251,178.715,30.3,8.7,1965,2,Undefined,Undefined,3.0,Shallow,Transform,NorthAmerican-Pacific
17,1965-02-04,0 days 06:04:59,51.639,175.055,30.0,6.0,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
18,1965-02-04,0 days 06:37:06,52.528,172.007,25.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
19,1965-02-04,0 days 06:39:32,51.626,175.746,25.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
20,1965-02-04,0 days 07:11:23,51.037,177.848,25.0,5.9,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
21,1965-02-04,0 days 07:14:59,51.73,173.975,20.0,5.9,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
22,1965-02-04,0 days 07:23:12,51.775,173.058,10.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
23,1965-02-04,0 days 07:43:43,52.611,172.588,24.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
24,1965-02-04,0 days 08:06:17,51.831,174.368,31.8,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
25,1965-02-04,0 days 08:33:41,51.948,173.969,20.0,5.6,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
27,1965-02-04,0 days 12:06:08,52.773,171.974,30.0,6.5,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
28,1965-02-04,0 days 12:50:59,51.772,174.696,20.0,5.6,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
29,1965-02-04,0 days 14:18:29,52.975,171.091,25.0,6.4,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
30,1965-02-04,0 days 15:51:25,52.99,170.874,25.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
31,1965-02-04,0 days 18:34:12,51.536,175.045,25.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
32,1965-02-04,0 days 19:44:04,13.245,-44.922,10.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Divergent,North-American-African
33,1965-02-04,0 days 22:30:03,51.812,174.206,10.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
34,1965-02-05,0 days 06:39:50,51.762,174.841,25.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
35,1965-02-05,0 days 09:32:11,52.438,174.321,39.5,6.3,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
36,1965-02-05,0 days 13:38:47,51.946,173.84,30.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
37,1965-02-05,0 days 20:47:12,51.738,174.566,20.0,6.0,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
38,1965-02-05,0 days 22:16:02,51.487,176.558,30.4,5.6,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
39,1965-02-06,0 days 01:40:32,53.008,-162.008,17.8,6.4,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
40,1965-02-06,0 days 04:02:54,52.184,175.505,27.7,6.2,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
41,1965-02-06,0 days 07:14:45,52.076,172.918,30.1,5.6,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
42,1965-02-06,0 days 12:22:28,51.744,175.213,37.4,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
43,1965-02-06,0 days 14:11:11,52.057,174.116,17.5,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
44,1965-02-06,0 days 16:50:29,53.191,-161.859,22.5,6.3,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
45,1965-02-06,0 days 18:10:30,51.447,176.469,25.2,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
46,1965-02-07,0 days 02:17:08,51.258,173.393,17.7,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
47,1965-02-07,0 days 04:11:22,52.031,175.411,25.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
51,1965-02-09,0 days 17:37:17,52.815,171.904,30.0,6.0,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
52,1965-02-12,0 days 00:55:10,52.188,172.752,25.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
53,1965-02-15,0 days 01:25:07,51.009,179.325,20.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
56,1965-02-17,0 days 10:18:51,51.694,176.446,30.0,5.7,1965,2,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
57,1965-02-17,0 days 18:23:57,21.527,143.081,340.0,5.6,1965,2,Undefined,Undefined,0.0,Deep,Convergent,Philippine-Pacific
61,1965-02-21,0 days 11:14:18,-15.343,-172.889,35.0,5.8,1965,2,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
64,1965-02-25,0 days 05:22:14,51.884,173.072,20.3,6.2,1965,2,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
66,1965-02-27,0 days 07:46:25,28.133,-112.208,10.0,6.0,1965,2,Undefined,Undefined,0.0,Shallow,Convergent,Carribean-Cocos
68,1965-03-01,0 days 08:18:57,21.104,121.218,30.0,5.7,1965,3,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
70,1965-03-01,0 days 13:20:57,21.122,121.148,30.0,5.6,1965,3,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
74,1965-03-03,0 days 14:39:02,-27.145,-177.262,15.0,5.6,1965,3,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
76,1965-03-03,0 days 16:47:28,53.046,171.308,25.7,6.3,1965,3,Undefined,Undefined,1.0,Shallow,Transform,NorthAmerican-Pacific
78,1965-03-05,0 days 06:15:04,50.928,179.511,30.0,5.5,1965,3,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
79,1965-03-05,0 days 13:42:47,52.39,174.937,35.0,5.6,1965,3,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
81,1965-03-05,0 days 17:59:16,52.416,174.239,35.0,5.6,1965,3,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
82,1965-03-06,0 days 11:10:51,-18.425,-132.923,10.0,5.6,1965,3,Undefined,Undefined,0.0,Shallow,Divergent,Nazca-Pacific
84,1965-03-07,0 days 01:43:11,-29.998,-177.968,50.0,6.0,1965,3,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
86,1965-03-13,0 days 07:33:24,53.292,-162.331,20.0,5.7,1965,3,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
89,1965-03-16,0 days 16:46:17,40.697,143.032,32.1,6.4,1965,3,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
90,1965-03-17,0 days 14:27:15,52.785,171.821,25.0,6.0,1965,3,Undefined,Undefined,0.0,Shallow,Transform,NorthAmerican-Pacific
91,1965-03-18,0 days 06:22:12,-20.036,-175.89,224.9,6.3,1965,3,Undefined,Undefined,1.0,Intermediate,Convergent,Australian-Pacific
92,1965-03-18,0 days 12:40:45,-55.857,-26.758,35.0,5.7,1965,3,Undefined,Undefined,0.0,Shallow,Divergent,SouthAmerican-African
95,1965-03-22,0 days 02:44:49,-15.262,-173.254,30.5,6.5,1965,3,Undefined,Undefined,1.0,Shallow,Convergent,Australian-Pacific
