,Year,Month,value
0,1965,1,13
1,1965,2,54
2,1965,3,38
3,1965,4,33
4,1965,5,22
5,1965,6,32
6,1965,7,21
7,1965,8,34
8,1965,9,28
9,1965,10,17
10,1965,11,27
11,1965,12,20
12,1966,1,12
13,1966,2,27
14,1966,3,23
15,1966,4,21
16,1966,5,22
17,1966,6,27
18,1966,7,12
19,1966,8,35
20,1966,9,12
21,1966,10,13
22,1966,11,13
23,1966,12,16
24,1967,1,36
25,1967,2,18
26,1967,3,23
27,1967,4,19
28,1967,5,12
29,1967,6,22
30,1967,7,15
31,1967,8,24
32,1967,9,24
33,1967,10,17
34,1967,11,27
35,1967,12,18
36,1968,1,23
37,1968,2,20
38,1968,3,16
39,1968,4,12
40,1968,5,49
41,1968,6,31
42,1968,7,23
43,1968,8,40
44,1968,9,26
45,1968,10,24
46,1968,11,19
47,1968,12,20
48,1969,1,26
49,1969,2,21
50,1969,3,30
51,1969,4,31
52,1969,5,17
53,1969,6,18
54,1969,7,22
55,1969,8,62
56,1969,9,36
57,1969,10,24
58,1969,11,14
59,1969,12,21
60,1970,1,25
61,1970,2,33
62,1970,3,25
63,1970,4,42
64,1970,5,27
65,1970,6,33
66,1970,7,22
67,1970,8,27
68,1970,9,19
69,1970,10,22
70,1970,11,33
71,1970,12,36
72,1971,1,34
73,1971,2,28
74,1971,3,28
75,1971,4,26
76,1971,5,36
77,1971,6,18
78,1971,7,64
79,1971,8,36
80,1971,9,39
81,1971,10,34
82,1971,11,18
83,1971,12,25
84,1972,1,32
85,1972,2,24
86,1972,3,31
87,1972,4,28
88,1972,5,31
89,1972,6,23
90,1972,7,25
91,1972,8,40
92,1972,9,44
93,1972,10,29
94,1972,11,35
95,1972,12,46
96,1973,1,23
97,1973,2,31
98,1973,3,40
99,1973,4,28
100,1973,5,22
101,1973,6,51
102,1973,7,37
103,1973,8,37
104,1973,9,33
105,1973,10,17
106,1973,11,39
107,1973,12,36
108,1974,1,33
109,1974,2,33
110,1974,3,28
111,1974,4,21
112,1974,5,36
113,1974,6,29
114,1974,7,28
115,1974,8,34
116,1974,9,30
117,1974,10,34
118,1974,11,28
119,1974,12,21
120,1975,1,27
121,1975,2,24
122,1975,3,29
123,1975,4,32
124,1975,5,29
125,1975,6,37
126,1975,7,51
127,1975,8,31
128,1975,9,30
129,1975,10,46
130,1975,11,36
131,1975,12,30
